dataset	trained on	epoch	model	input dim	hidden dim	embedding dim	dropout	learning rate	window sizes	num filters	max feats	output dim	accuracy	precision	recall	f1-score	train loss	dev accuracy	dev precision	dev recall	dev f1-score	dev loss
Davidson et al.	Davidson et al.	70	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6711893473216988	0.7442958300550747	0.8427905701754386	0.7904869034227864	5.841937675541494	0.8498789346246973	0.9985761746559089	0.850788515972503	0.9187772925764193	9.560434952582728
Davidson et al.	Davidson et al.	71	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6928276001210532	0.7751013738425225	0.8436203148672683	0.8079106737320212	7.977288941424057	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	5.997148342917676
Davidson et al.	Davidson et al.	72	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6664985372742863	0.740240876354173	0.8405607862002612	0.7872176095771385	5.983796058984959	0.8498789346246973	0.9985761746559089	0.850788515972503	0.9187772925764193	9.630120056497175
Davidson et al.	Davidson et al.	73	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6931302330273379	0.7761907643890334	0.8431398330155808	0.8082813386273396	8.05464395134213	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	5.533507364810331
Davidson et al.	Davidson et al.	74	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6647836174720064	0.7371542698057254	0.8409859835669405	0.7856543894730053	5.552370760811935	0.8506860371267151	0.9985761746559089	0.8514771347632537	0.9191786806465704	9.209904976291364
Davidson et al.	Davidson et al.	75	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.7016039544033088	0.7867820613690008	0.8445397258494121	0.8146384258679032	7.4794735661743985	0.8498789346246973	0.9990507831039392	0.8505050505050505	0.9188127455259713	7.021051660865617
Davidson et al.	Davidson et al.	76	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6697266216079895	0.7459299158748411	0.8398637137989778	0.7901147509455734	6.572818592748427	0.8502824858757062	0.9990507831039392	0.8508488278092159	0.9190133158698974	8.868107313105327
Davidson et al.	Davidson et al.	77	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.681125794411379	0.7639653815892997	0.8390162844798936	0.7997339077546882	7.634393105939336	0.8498789346246973	0.9990507831039392	0.8505050505050505	0.9188127455259713	6.959026148859968
Davidson et al.	Davidson et al.	78	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6659941490971452	0.7413302669006839	0.839145029800644	0.7872107969151672	6.455957428304841	0.8502824858757062	0.9990507831039392	0.8508488278092159	0.9190133158698974	8.562191031073446
Davidson et al.	Davidson et al.	79	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6839503682033693	0.7637838164982146	0.8422879263164921	0.8011172475084111	7.302331871333642	0.8498789346246973	0.9990507831039392	0.8505050505050505	0.9188127455259713	6.798116393008475
Davidson et al.	Davidson et al.	80	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.671290224957127	0.744961568722387	0.8423898165891048	0.7906857234623413	6.226119116963333	0.8502824858757062	0.9990507831039392	0.8508488278092159	0.9190133158698974	8.933413255397499
Davidson et al.	Davidson et al.	81	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6872793301725008	0.7685045088664286	0.842433490346978	0.8037726294467654	7.603379975435027	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	6.539950785663842
Davidson et al.	Davidson et al.	82	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6643801069302936	0.7374568782908673	0.8402868767671196	0.7855208870551831	6.235228974992592	0.8502824858757062	0.9990507831039392	0.8508488278092159	0.9190133158698974	8.896132055841404
Davidson et al.	Davidson et al.	83	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6835468576616565	0.7663862494704351	0.8398885719970817	0.8014556962025318	7.471428493552476	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	6.773881248738903
Davidson et al.	Davidson et al.	84	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6676081912639967	0.7427827876293651	0.8398686101416547	0.7883478931140802	6.348305947049696	0.8502824858757062	0.9990507831039392	0.8508488278092159	0.9190133158698974	8.550903418835755
Davidson et al.	Davidson et al.	85	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6825380813073741	0.7613629486170792	0.8425423615297033	0.7998982641317478	7.313306480991868	0.8498789346246973	0.9990507831039392	0.8505050505050505	0.9188127455259713	6.906451775625505
Davidson et al.	Davidson et al.	86	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6687178452537073	0.7452641772075289	0.8392285149594493	0.7894601872034877	6.2226157831542	0.8502824858757062	0.9990507831039392	0.8508488278092159	0.9190133158698974	8.037280411370057
Davidson et al.	Davidson et al.	87	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6870775749016443	0.7665072928644919	0.8437146092865232	0.8032599733620853	6.863111244108534	0.8498789346246973	0.9990507831039392	0.8505050505050505	0.9188127455259713	7.976669693301049
Davidson et al.	Davidson et al.	88	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6768889337233935	0.7578526901894329	0.8388825618007637	0.7963116057233706	6.723898335709577	0.8498789346246973	0.9990507831039392	0.8505050505050505	0.9188127455259713	8.038454808565374
Davidson et al.	Davidson et al.	89	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6830929083022294	0.7597288627973129	0.844410063231535	0.799834336869604	7.004314160739018	0.8498789346246973	0.9990507831039392	0.8505050505050505	0.9188127455259713	7.651871626563761
Davidson et al.	Davidson et al.	90	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6763341067285383	0.7516794770925377	0.8429482828831275	0.794701986754967	6.809501679889083	0.8498789346246973	0.9990507831039392	0.8505050505050505	0.9188127455259713	8.161557644774012
Davidson et al.	Davidson et al.	91	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6753757691919702	0.7541608666707015	0.8399730367374453	0.7947573187065502	7.155590468935513	0.8498789346246973	0.9990507831039392	0.8505050505050505	0.9188127455259713	7.2611654434019375
Davidson et al.	Davidson et al.	92	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6674568748108545	0.743872178175876	0.8388615888615889	0.7885164394546913	6.590358957709908	0.8502824858757062	0.9990507831039392	0.8508488278092159	0.9190133158698974	7.94732867988297
Davidson et al.	Davidson et al.	93	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6768889337233935	0.755189735520184	0.8408922434126289	0.7957400675977297	6.787440150389935	0.8498789346246973	0.9990507831039392	0.8505050505050505	0.9188127455259713	7.74653276962268
Davidson et al.	Davidson et al.	94	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6752244527388278	0.7533135629123041	0.8404456448345712	0.79449781380653	6.63443338287763	0.8498789346246973	0.9990507831039392	0.8505050505050505	0.9188127455259713	7.448864066283293
Davidson et al.	Davidson et al.	95	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.67709068899425	0.7543424317617866	0.8417640305261025	0.7956591126715608	6.513862302393987	0.8498789346246973	0.9990507831039392	0.8505050505050505	0.9188127455259713	7.9128873146186445
