dataset	trained on	epoch	model	input dim	hidden dim	embedding dim	dropout	learning rate	window sizes	num filters	max feats	output dim	accuracy	precision	recall	f1-score	train loss	dev accuracy	dev precision	dev recall	dev f1-score	dev loss
Wulczyn et al.	Wulczyn et al.	62	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8043410107427998	0.12439156300703083	0.09763966717609102	0.10940398611045046	29.33173870574928	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	46.19639800174303
Wulczyn et al.	Wulczyn et al.	63	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8067968064205995	0.119848566792861	0.09669255606946504	0.107032457496136	30.336656623807922	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	44.88412366160359
Wulczyn et al.	Wulczyn et al.	64	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8023659240061866	0.12417522985397512	0.09596255119953188	0.10826103357223689	28.254998938064535	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	39.40996171563745
Wulczyn et al.	Wulczyn et al.	65	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8099527651214312	0.12060573282855598	0.0998120132485901	0.10922805642633228	27.383200508677252	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	47.93530565239044
Wulczyn et al.	Wulczyn et al.	66	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8157839735819086	0.1210383991346674	0.10535731098766594	0.11265478707339172	31.24057469245199	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	48.08671174676295
Wulczyn et al.	Wulczyn et al.	67	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8058667391213477	0.12222823147647377	0.09748102139406488	0.10846091087968517	30.667645276915803	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	44.69165525398407
Wulczyn et al.	Wulczyn et al.	68	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8030556368348452	0.12201189832341806	0.09513367630935313	0.10690929769690077	29.398006614173518	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	44.76938340388446
Wulczyn et al.	Wulczyn et al.	69	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8043410107427998	0.12742022714981072	0.09954368767956735	0.11177000806489873	29.346977175769513	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	44.75648966633466
Wulczyn et al.	Wulczyn et al.	70	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.80335869247168	0.12471606273661438	0.09707021384071393	0.10917009894427876	29.11415691845733	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	44.32047979955179
Wulczyn et al.	Wulczyn et al.	71	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8037139990803829	0.1265548945375879	0.09850143121737666	0.11077971878994462	29.189408026007474	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	43.05555123256972
Wulczyn et al.	Wulczyn et al.	72	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8037871504409982	0.12806922660897782	0.0995041600134465	0.11199394627317441	28.247909156727918	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	45.060718065239044
Wulczyn et al.	Wulczyn et al.	73	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.807162563223676	0.12233639805300162	0.0986050566695728	0.10919623461259956	29.30358842474329	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	43.52144157744024
Wulczyn et al.	Wulczyn et al.	74	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8087300923797183	0.1253650621957815	0.10188115330520393	0.1124096794529848	29.087451095476013	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	45.25057582171315
Wulczyn et al.	Wulczyn et al.	75	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.809252602098399	0.12406706327744726	0.10148646257299593	0.1116464690709106	30.052259917630053	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	47.019087711653384
